route_no,from,to,route
61C,KBS (Majestic),BCC Layout,"Vijaynagar, Rajajinagar 6th Block, Sujatha"
61F,KBS(Majestic),Subbanna Garden / GKW Layout,"Vijaynagar (Maruthi Mandir), Vijaynagar, Rajajinagar 6th Block, Sujatha"
61J,KBS (Majestic),Chandra Layout 1st Stage,Vijaynagar
63,Shivajinagar,Vijaynagar Maruthi Mandir,"Indian Express, Vidhana Soudha, Sheshadripuram, Malleshwaram, Navarang, ESI Hospital, Rama Mandir, Bashyam Circle, Prasanna Theater, Tollgate, Vijayanagar"
64,Shivajinagar,Hampinagar (RPC Layout),"Vijaynagar, West of Chord Road, Yeshwantpur, Mekhri Circle"
65B,Banashankari,K.H.B.Colony,"via South End, Gandhi Bazaar, Chamrajpet, Magadi Road"
74,Rajajinagar Rama Mandir,Shivajinagar,"Indian Express, Vidhana Soudha, Sheshadripuram, Malleshwaram, Navarang, ESI Hospital"
75,Malleshwaram 18th cross,Vijayanagar,"Navarang, Rajajinagar"
75B,Mathikere,Vijayanagar,"Malleshwaram, Srirampura, Rajajinagar"
76,Rajajinagar 1st Block,K. R. Market,"Mysuru circle, Binny Mill, Magadi Road, Bashyam Circle, ESI Hospital, Navarang"
77,Mahalakshmi Layout,K. R. Market,"Mysuru circle, Binny Mill, Magadi Road, Bashyam Circle, ESI Hospital, Navarang, Rajajinagar 1st Block"
77B,NR Colony,Mahalakshmi Layout,"Chamrajpet, Magadi Road"
77C,NR Colony,Nandini Layout,
78,ISCKON temple,KBS (Majestic),"Rajajinagar, ESI Hospital, Sujatha Talkies, Okalipuram"
79,Rajajinagar 1st Block,Shivajinagar,
79E,Nandini Layout,Shivajinagar,
80,Mahalakshmi Layout,KBS (Majestic),
80A,Nandini Layout,KBS (Majestic),"Saraswathipura, Rajajinagar 1st Block, Navrang, ESI, Ram Mandir, Sujatha Talkies, Okalipura"
80B,JaiMaruthinagar,KBS (Majestic),"Nandini Layout, Saraswathipura, Rajajinagar 1st Block, Navrang, ESI, Ram Mandir, Sujatha Talkies, Okalipura"
80C,Goraguntepalya,KBS (Majestic),"Nandini Layout, Saraswathipura, Rajajinagar 1st Block, Navrang, ESI, Ram Mandir, Sujatha Talkies, Okalipura"
82,KBS (Majestic),KBS (Majestic),
82A,KBS (Majestic),KBS (Majestic),
